"year","month","capacity","complete","generated_el","time","parent_company","op_time","area","area3","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case"
16,12,60,0,0,0,"else",0,"太原市尖草坪区","taiyuan","taiersi、wuqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,5,270,0.438,875.334,"潞安集团",2016,"运城市河津市","yuncheng","fananguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,3,290,0.1,332.667,"江苏爱康实业集团",2017,"吕梁市孝义市","luliang","taiziguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,24.9,3610,3.774,1515.736,"国电集团公司",2013,"长治市沁源县","changzhi","taiyueshanfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,5,520,0.385,769.117,"浙江正泰新能源开发有限公司",2016,"大同市南郊区","datong","zhengtaiguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,14.95,2120,3.011,2014.019,"华能集团公司",2013,"忻州市神池县","xinzhou","taipingzhuangfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,60,30300,41.833,6972.2,"else",0,"太原市尖草坪区","taiyuan","taigangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,4.95,330,0.247,498.035,"else",0,"朔州市右玉县","shuozhou","weipingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,4.95,670,0.67,1354.182,"国家能源集团",2012,"忻州市静乐县","xinzhou","suopofengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,4.8,1050,1.135,2365.381,"else",0,"忻州市神池县","xinzhou","aitefengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,10,0,0,0,"else",0,"运城市永济市","yuncheng","yongji#2ji",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,30,7850,8.863,2954.267,"中煤集团",0,"晋中市昔阳县","jinzhong","anpingdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,70,26870,15.312,3165.619,"格盟集团公司",2015,"阳泉市","yangquan","heguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,4.8,830,0.523,1090.585,"else",0,"吕梁市岚县","luliang","hekoufengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,27,7320,8.234,3049.519,"潞安集团",0,"长治市屯留县","changzhi","ronghaidianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,9.9,1930,2.008,2027.819,"大唐集团公司",2012,"大同市浑源县","datong","mimazongliangfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,9.9,2400,1.996,2016.25,"河北建设投资集团有限责任公司",2012,"大同市灵丘县","datong","hanfenglingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,60,18490,23.54,3923.25,"大唐集团公司",0,"晋城市高平市","jincheng","hexidianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,2,240,0.196,979,"大唐集团公司",2016,"朔州市朔城区","shuozhou","pengboyuguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,4.125,170,0.309,748.609,"else",0,"朔州市右玉县","shuozhou","xiaowutaifengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,3,250,0.061,201.667,"科林环保装备股份有限公司",2017,"临汾市古县","linfen","shangjiaguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,60,28540,20.177,3362.783,"同煤集团",0,"临汾市侯马市","linfen","huibindianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,5,2960,1.467,2934.4,"焦煤集团",0,"太原市万柏林区","taiyuan","xishan#3ji",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,5,440,0.693,1385.664,"国家电投集团公司",2015,"朔州市山阴县","shuozhou","xujiawaguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,2,240,0.331,1656.833,"华润集团",2016,"阳泉市盂县","yangquan","runyangguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,10,1150,0.671,670.53,"三峡集团",2016,"晋中市榆社县","jinzhong","xiadianguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,4.95,1040,0.978,1974.965,"else",0,"忻州市神池县","xinzhou","elingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,14.95,2280,2.733,1828.153,"国电集团公司",2015,"忻州市定襄县","xinzhou","fengyuefengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,10,1220,0.915,915.4,"华电集团",2016,"大同市左云县","datong","wanhuaguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,10,800,1.122,1121.748,"协鑫集团",2014,"运城市郊区","yuncheng","yuanxinguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,120,32300,55.19,4599.183,"华能集团公司",0,"晋中市左权县","jinzhong","zuoquandianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,120,33240,47.361,3946.783,"京能集团",0,"长治市郊","changzhi","zhangshanerqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,10,1230,0.806,805.7,"else",2017,"大同市新荣区","datong","changlianguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,10,0,3.207,3207.2,"格盟集团公司",0,"朔州市朔城区","shuozhou","pingshuoyiqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,15920,26.911,4485.133,"格盟集团公司",0,"朔州市朔城区","shuozhou","pingshuoerqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,24450,20.985,3497.5,"格盟集团公司",0,"朔州市山阴县","shuozhou","yuguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,5,240,0.31,619.6,"else",2016,"临汾市襄汾县","linfen","huoshigouguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,70,19800,20.975,2996.429,"中国华电集团",2015,"朔州市朔城区","shuozhou","jinhuadianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,240,102260,100.245,4176.867,"神华集团",0,"忻州市河曲县","xinzhou","hequdianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,97,47280,14.517,4546.445,"else",0,"忻州市","xinzhou","guangyudianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,33830,22.2,3699.917,"格盟集团公司",0,"晋中市榆次区","jinzhong","ruiguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,5,620,0.903,1805.348,"太原阿特斯能源科技有限公司",2017,"朔州市应县","shuozhou","atesiguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,1.782,140,0.217,1216.366,"else",0,"运城市芮城县","yuncheng","huaiguguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,9.9,1710,1.787,1804.727,"else",0,"朔州市右玉县","shuozhou","zongleshanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,1.96,190,0.132,675,"江山控股",2016,"大同市大同县","datong","wantongguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,4.8,740,1.17,2437.263,"else",0,"大同市左云县","datong","motianlingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,20,3280,3.623,1811.322,"上海斯能投资有限公司",2018,"朔州市右玉县","shuozhou","sinengfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,86,47530,24.848,2889.337,"晋能集团",0,"太原市小店区","taiyuan","xinjiaranqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,10,2480,3.152,3151.9,"焦煤集团",0,"吕梁市方山县","luliang","fangshandianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,10,0,0,0,"else",0,"临汾市侯马市","linfen","jintiandianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,6,590,0.951,1584.241,"晋能集团",2013,"朔州市应县","shuozhou","jinghuiguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,5,580,0.407,813.375,"else",2016,"晋中市寿阳县","jinzhong","kedianguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,5,460,0.731,1461.088,"中核集团",2015,"忻州市忻府区","xinzhou","caozhangguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,60,530,17.962,2993.633,"同煤集团",0,"运城市永济市","yuncheng","puguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,1.5,110,0.2,1332.949,"中广核集团",2017,"阳泉市盂县","yangquan","guantouliangguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,12.6,2320,4.392,3485.794,"else",0,"晋中市介休市","jinzhong","chaoyangranqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,20,4850,6.356,3178,"else",0,"吕梁市柳林县","luliang","liulindianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,10,1060,0.785,785.391,"中广核集团",2016,"太原市阳曲县","taiyuan","heguangguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,27,7250,7.775,2879.778,"中煤集团",0,"朔州市朔城区","shuozhou","geruitedianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,70,2270,24.97,3567.214,"神华集团",0,"忻州市河曲县","xinzhou","louziyingdianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,5,590,0.372,743.905,"else",2016,"临汾市洪洞县","linfen","jianyuanguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,14.85,1940,2.584,1740.286,"else",0,"晋中市榆次区","jinzhong","laoqianshanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,60,15120,26.316,4385.933,"华能集团公司",0,"晋中市榆社县","jinzhong","yushedianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,4.95,1340,1.395,2818.208,"else",0,"朔州市山阴县","shuozhou","lianchengfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.6,2240,2.3,2395.729,"else",0,"运城市平陆县","yuncheng","tenghuifengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.9,1620,1.903,1922.448,"else",0,"忻州市忻府区","xinzhou","wujiashanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,120,34010,45.102,3758.483,"焦煤集团",0,"长治市武乡县","changzhi","wuxiangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,9.9,2040,2.206,2228.147,"else",0,"忻州市原平市","xinzhou","duanjiabaofengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,5,420,0.268,536.6,"else",2016,"运城市芮城县","yuncheng","jienengguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
