"","area3","year","GDP","GDP per capita","GDPperMonth","X.1","X","month","capacity","complete","generated_el","time","parent_company","op_time","area","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case","on_covid","efficiency"
"67","changzhi",17,14775312,42887,1231276,575,575,2,120,28920,6.098,508.15,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"Feb 2017",1,"fossil-fuel",0,0,0,0.334722222222222
"68","changzhi",17,14775312,42887,1231276,2397,2397,10,3,400,0.099,329.667,"else",2017,"长治市长子县","baicaoshanguangfu",0,0,1,0,0,"Oct 2017",1,"photovoltaic",0,0,0,0.185185185185185
"69","changzhi",17,14775312,42887,1231276,788,788,3,60,16080,4.711,785.133,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.372222222222222
"70","changzhi",17,14775312,42887,1231276,1214,1214,5,120,32020,15.211,1267.6,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"May 2017",1,"fossil-fuel",0,0,0,0.370601851851852
"71","changzhi",17,14775312,42887,1231276,838,838,4,24.9,3680,1.358,545.341,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Apr 2017",1,"wind",0,0,0,0.205265506470326
"72","changzhi",17,14775312,42887,1231276,2578,2578,11,4,410,0.172,430.585,"else",2017,"长治市潞城县","shengyangguangfu",0,0,1,0,0,"Nov 2017",1,"photovoltaic",0,0,0,0.142361111111111
"73","changzhi",17,14775312,42887,1231276,2527,2527,11,10,910,0.252,252.487,"协鑫集团",2015,"长治市沁源县","xuexinguangfu",0,0,1,0,0,"Nov 2017",1,"photovoltaic",0,0,0,0.126388888888889
"74","changzhi",17,14775312,42887,1231276,1191,1191,5,120,38680,20.125,1677.083,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"May 2017",1,"fossil-fuel",0,0,0,0.447685185185185
"75","changzhi",17,14775312,42887,1231276,930,930,4,66,4670,8.534,1293,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Apr 2017",1,"fossil-fuel",0,0,0,0.0982744107744108
"76","changzhi",17,14775312,42887,1231276,1043,1043,4,27,6360,2.532,937.889,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Apr 2017",1,"fossil-fuel",0,0,0,0.32716049382716
"77","changzhi",17,14775312,42887,1231276,1149,1149,5,84,11830,9.181,1092.952,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"May 2017",1,"fossil-fuel",0,0,0,0.195601851851852
"78","changzhi",17,14775312,42887,1231276,2545,2545,11,66,24100,21.928,3322.423,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Nov 2017",1,"fossil-fuel",0,0,0,0.507154882154882
"79","changzhi",17,14775312,42887,1231276,1962,1962,9,27,6600,6.665,2468.364,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Sep 2017",1,"fossil-fuel",0,0,0,0.339506172839506
"80","changzhi",17,14775312,42887,1231276,309,309,1,60,16430,1.643,273.817,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Jan 2017",1,"fossil-fuel",0,0,0,0.380324074074074
"81","changzhi",17,14775312,42887,1231276,1280,1280,6,27,5360,3.847,1424.852,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Jun 2017",1,"fossil-fuel",0,0,0,0.275720164609053
"82","changzhi",17,14775312,42887,1231276,1179,1179,5,4.95,660,0.367,741.616,"else",0,"长治市平顺县","hongtiguanfengdianchang",1,0,0,0,0,"May 2017",1,"wind",0,0,0,0.185185185185185
"83","changzhi",17,14775312,42887,1231276,2807,2807,12,66,34220,25.35,3840.936,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Dec 2017",1,"fossil-fuel",0,0,0,0.720117845117845
"84","changzhi",17,14775312,42887,1231276,619,619,2,27,5510,1.197,443.444,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Feb 2017",1,"fossil-fuel",0,0,0,0.28343621399177
"85","changzhi",17,14775312,42887,1231276,1122,1122,5,24.9,3920,1.75,702.892,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"May 2017",1,"wind",0,0,0,0.218652387327086
"86","changzhi",17,14775312,42887,1231276,2052,2052,9,66,21630,17.753,2689.826,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Sep 2017",1,"fossil-fuel",0,0,0,0.455176767676768
"87","changzhi",17,14775312,42887,1231276,1729,1729,8,27,14270,6.005,2224.037,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Aug 2017",1,"fossil-fuel",0,0,0,0.734053497942387
"88","changzhi",17,14775312,42887,1231276,1069,1069,5,27,3580,3.311,1226.333,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"May 2017",1,"fossil-fuel",0,0,0,0.184156378600823
"89","changzhi",17,14775312,42887,1231276,2041,2041,9,27,6850,6.618,2450.935,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Sep 2017",1,"fossil-fuel",0,0,0,0.352366255144033
"90","changzhi",17,14775312,42887,1231276,700,700,3,24.9,3840,0.99,397.43,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Mar 2017",1,"wind",0,0,0,0.214190093708166
"91","changzhi",17,14775312,42887,1231276,304,304,1,66,31700,3.17,480.258,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Jan 2017",1,"fossil-fuel",0,0,0,0.667087542087542
"92","changzhi",17,14775312,42887,1231276,517,517,2,84,19500,4.285,510.131,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Feb 2017",1,"fossil-fuel",0,0,0,0.322420634920635
"93","changzhi",17,14775312,42887,1231276,1423,1423,6,84,18750,11.056,1316.179,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Jun 2017",1,"fossil-fuel",0,0,0,0.310019841269841
"94","changzhi",17,14775312,42887,1231276,2151,2151,9,3,400,0.099,329.667,"else",2017,"长治市长子县","baicaoshanguangfu",0,0,1,0,0,"Sep 2017",1,"photovoltaic",0,0,0,0.185185185185185
"95","changzhi",17,14775312,42887,1231276,971,971,4,84,20160,7.998,952.179,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Apr 2017",1,"fossil-fuel",0,0,0,0.333333333333333
"96","changzhi",17,14775312,42887,1231276,919,919,4,27,10540,3.062,1134.111,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Apr 2017",1,"fossil-fuel",0,0,0,0.542181069958848
"97","changzhi",17,14775312,42887,1231276,2305,2305,10,84,14470,19.397,2309.108,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Oct 2017",1,"fossil-fuel",0,0,0,0.239252645502645
"98","changzhi",17,14775312,42887,1231276,499,499,2,27,6000,1.278,473.481,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Feb 2017",1,"fossil-fuel",0,0,0,0.308641975308642
"99","changzhi",17,14775312,42887,1231276,647,647,3,27,7300,2.008,743.741,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.375514403292181
"100","changzhi",17,14775312,42887,1231276,2348,2348,10,120,32390,43.655,3637.904,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Oct 2017",1,"fossil-fuel",0,0,0,0.374884259259259
"101","changzhi",17,14775312,42887,1231276,716,716,3,66,20150,8.067,1222.242,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.424031986531987
"102","changzhi",17,14775312,42887,1231276,1659,1659,7,27,15140,5.802,2148.889,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Jul 2017",1,"fossil-fuel",0,0,0,0.77880658436214
"103","changzhi",17,14775312,42887,1231276,2466,2466,11,27,4440,7.108,2632.754,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Nov 2017",1,"fossil-fuel",0,0,0,0.228395061728395
"104","changzhi",17,14775312,42887,1231276,1569,1569,7,10,220,0.022,22.3,"协鑫集团",2015,"长治市沁源县","xuexinguangfu",0,0,1,0,0,"Jul 2017",1,"photovoltaic",0,0,0,0.0305555555555556
"105","changzhi",17,14775312,42887,1231276,298,298,1,27,6780,0.678,251.222,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Jan 2017",1,"fossil-fuel",0,0,0,0.348765432098765
"106","changzhi",17,14775312,42887,1231276,1355,1355,6,66,17560,11.462,1736.697,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Jun 2017",1,"fossil-fuel",0,0,0,0.36952861952862
"107","changzhi",17,14775312,42887,1231276,790,790,3,120,27870,8.885,740.433,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.322569444444444
"108","changzhi",17,14775312,42887,1231276,1234,1234,5,3,480,0.194,647.667,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"May 2017",1,"photovoltaic",0,0,0,0.222222222222222
"109","changzhi",17,14775312,42887,1231276,2553,2553,11,120,37480,39.117,3259.733,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"Nov 2017",1,"fossil-fuel",0,0,0,0.433796296296296
"110","changzhi",17,14775312,42887,1231276,1510,1510,7,27,7310,4.578,1695.407,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Jul 2017",1,"fossil-fuel",0,0,0,0.376028806584362
"111","changzhi",17,14775312,42887,1231276,2210,2210,10,27,0,6.665,2468.364,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Oct 2017",1,"fossil-fuel",0,0,0,0
"112","changzhi",17,14775312,42887,1231276,2292,2292,10,7.95,750,0.594,747.098,"else",0,"长治市平顺县","hongtiguanfengdianchang",1,0,0,0,0,"Oct 2017",1,"wind",0,0,0,0.131027253668763
"113","changzhi",17,14775312,42887,1231276,1876,1876,8,60,32360,17.224,2870.733,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Aug 2017",1,"fossil-fuel",0,0,0,0.749074074074074
"114","changzhi",17,14775312,42887,1231276,2187,2187,9,3,340,0.322,1074.297,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Sep 2017",1,"photovoltaic",0,0,0,0.157407407407407
"115","changzhi",17,14775312,42887,1231276,1351,1351,6,4.95,200,0.387,782.02,"else",0,"长治市平顺县","hongtiguanfengdianchang",1,0,0,0,0,"Jun 2017",1,"wind",0,0,0,0.0561167227833894
"116","changzhi",17,14775312,42887,1231276,226,226,1,27,6890,0.689,255.111,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Jan 2017",1,"fossil-fuel",0,0,0,0.354423868312757
"117","changzhi",17,14775312,42887,1231276,2628,2628,11,60,18270,25.442,4240.4,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Nov 2017",1,"fossil-fuel",0,0,0,0.422916666666667
"118","changzhi",17,14775312,42887,1231276,1574,1574,7,27,7590,5.221,1933.704,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Jul 2017",1,"fossil-fuel",0,0,0,0.390432098765432
"119","changzhi",17,14775312,42887,1231276,2126,2126,9,60,31800,20.41,3401.65,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Sep 2017",1,"fossil-fuel",0,0,0,0.736111111111111
"120","changzhi",17,14775312,42887,1231276,1477,1477,6,27,12270,4.288,1588.037,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Jun 2017",1,"fossil-fuel",0,0,0,0.631172839506173
"121","changzhi",17,14775312,42887,1231276,1331,1331,6,24.9,1780,1.928,774.337,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Jun 2017",1,"wind",0,0,0,0.0992860330209728
"122","changzhi",17,14775312,42887,1231276,1486,1486,7,24.9,1630,2.091,839.839,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Jul 2017",1,"wind",0,0,0,0.0909192324854975
"123","changzhi",17,14775312,42887,1231276,2251,2251,10,5,160,0.024,48.116,"特变电工",2017,"长治市沁源县","huiyuanguangfu",0,0,1,0,0,"Oct 2017",1,"photovoltaic",0,0,0,0.0444444444444444
